,year,week,home_team,away_team,winner,tie,day,date,time,pts_win,pts_loss,yds_win,turnovers_win,yds_loss,turnovers_loss,home_team_name,home_team_city,away_team_name,away_team_city
37,2000,3,Chicago Bears,New York Giants,New York Giants,,Sun,September 17,3:16PM,14,7,409,1,228,1,Bears,Chicago,Giants,New York
38,2000,3,Oakland Raiders,Denver Broncos,Denver Broncos,,Sun,September 17,4:05PM,33,24,387,1,263,4,Raiders,Oakland,Broncos,Denver
39,2000,3,Kansas City Chiefs,San Diego Chargers,Kansas City Chiefs,,Sun,September 17,4:05PM,42,10,349,1,187,2,Chiefs,Kansas City,Chargers,San Diego
40,2000,3,Seattle Seahawks,New Orleans Saints,Seattle Seahawks,,Sun,September 17,4:15PM,20,10,295,1,263,0,Seahawks,Seattle,Saints,New Orleans
41,2000,3,New England Patriots,Minnesota Vikings,Minnesota Vikings,,Sun,September 17,4:15PM,21,13,315,2,267,1,Patriots,New England,Vikings,Minnesota
42,2000,3,Miami Dolphins,Baltimore Ravens,Miami Dolphins,,Sun,September 17,8:36PM,19,6,258,1,262,1,Dolphins,Miami,Ravens,Baltimore
43,2000,3,Washington Redskins,Dallas Cowboys,Dallas Cowboys,,Mon,September 18,9:01PM,27,21,332,2,331,2,Redskins,Washington,Cowboys,Dallas
44,2000,4,Pittsburgh Steelers,Tennessee Titans,Tennessee Titans,,Sun,September 24,1:01PM,23,20,372,3,364,1,Steelers,Pittsburgh,Titans,Tennessee
45,2000,4,Baltimore Ravens,Cincinnati Bengals,Baltimore Ravens,,Sun,September 24,1:02PM,37,0,391,1,94,4,Ravens,Baltimore,Bengals,Cincinnati
46,2000,4,Chicago Bears,Detroit Lions,Detroit Lions,,Sun,September 24,1:02PM,21,14,274,1,401,5,Bears,Chicago,Lions,Detroit
47,2000,4,New Orleans Saints,Philadelphia Eagles,Philadelphia Eagles,,Sun,September 24,1:02PM,21,7,268,2,287,4,Saints,New Orleans,Eagles,Philadelphia
48,2000,4,Atlanta Falcons,St. Louis Rams,St. Louis Rams,,Sun,September 24,1:02PM,41,20,395,2,286,4,Falcons,Atlanta,Rams,St. Louis
49,2000,4,Miami Dolphins,New England Patriots,Miami Dolphins,,Sun,September 24,1:03PM,10,3,242,3,210,2,Dolphins,Miami,Patriots,New England
50,2000,4,Dallas Cowboys,San Francisco 49ers,San Francisco 49ers,,Sun,September 24,1:05PM,41,24,439,0,298,3,Cowboys,Dallas,49ers,San Francisco
51,2000,4,Arizona Cardinals,Green Bay Packers,Green Bay Packers,,Sun,September 24,4:06PM,29,3,455,1,209,4,Cardinals,Arizona,Packers,Green Bay
52,2000,4,Tampa Bay Buccaneers,New York Jets,New York Jets,,Sun,September 24,4:15PM,21,17,296,3,239,4,Buccaneers,Tampa Bay,Jets,New York
53,2000,4,San Diego Chargers,Seattle Seahawks,Seattle Seahawks,,Sun,September 24,4:15PM,20,12,269,2,303,2,Chargers,San Diego,Seahawks,Seattle
54,2000,4,Denver Broncos,Kansas City Chiefs,Kansas City Chiefs,,Sun,September 24,4:16PM,23,22,294,3,342,3,Broncos,Denver,Chiefs,Kansas City
55,2000,4,Oakland Raiders,Cleveland Browns,Oakland Raiders,,Sun,September 24,4:17PM,36,10,292,0,230,2,Raiders,Oakland,Browns,Cleveland
56,2000,4,New York Giants,Washington Redskins,Washington Redskins,,Sun,September 24,8:37PM,16,6,394,0,261,1,Giants,New York,Redskins,Washington
57,2000,4,Indianapolis Colts,Jacksonville Jaguars,Indianapolis Colts,,Mon,September 25,9:00PM,43,14,533,1,286,2,Colts,Indianapolis,Jaguars,Jacksonville
58,2000,5,Buffalo Bills,Indianapolis Colts,Indianapolis Colts,,Sun,October 1,1:01PM,18,16,265,1,385,0,Bills,Buffalo,Colts,Indianapolis
59,2000,5,Detroit Lions,Minnesota Vikings,Minnesota Vikings,,Sun,October 1,1:01PM,31,24,439,0,355,1,Lions,Detroit,Vikings,Minnesota
60,2000,5,Carolina Panthers,Dallas Cowboys,Dallas Cowboys,,Sun,October 1,1:02PM,16,13,291,2,272,2,Panthers,Carolina,Cowboys,Dallas
61,2000,5,St. Louis Rams,San Diego Chargers,St. Louis Rams,,Sun,October 1,1:02PM,57,31,614,0,381,2,Rams,St. Louis,Chargers,San Diego
62,2000,5,Tennessee Titans,New York Giants,Tennessee Titans,,Sun,October 1,1:03PM,28,14,436,1,215,4,Titans,Tennessee,Giants,New York
63,2000,5,Cleveland Browns,Baltimore Ravens,Baltimore Ravens,,Sun,October 1,1:03PM,12,0,348,1,230,4,Browns,Cleveland,Ravens,Baltimore
